,entity_pair_names,Structural_similarity,Jaccardian_Similarity,Sequence_Similarity,Transformers_similarity,Spacy_similarity
0,ma 0000667 / nci c33224,0.324633524575356,0.4444444444444444,0.375,0.16771367192268372,0.492
1,ma 0000667 / nci c32084,0.2957187095417253,0.5333333333333333,0.25806451612903225,0.14095620810985565,0.148
2,ma 0000667 / nci c32082,0.25438673313984694,0.4117647058823529,0.22641509433962265,0.30952227115631104,0.198
3,ma 0000667 / nci c32212,0.2411764993189087,0.2222222222222222,0.16216216216216217,0.3035663068294525,0.545
4,ma 0000667 / nci c32739,0.26172082085633663,0.5,0.3111111111111111,0.19507096707820892,0.324
5,ma 0000667 / nci c32886,0.2900667533681859,0.47368421052631576,0.3050847457627119,0.19652818143367767,0.192
6,ma 0000667 / nci c33844,0.26757757930794324,0.38461538461538464,0.06896551724137931,0.19260473549365997,0.442
7,ma 0000667 / nci c33243,0.3005967285718858,0.5714285714285714,0.2777777777777778,0.22263690829277039,0.311
8,ma 0000667 / nci c33423,0.25428164040485585,0.5384615384615384,0.125,0.17617204785346985,0.382
9,ma 0000667 / nci c33687,0.2632424922270442,0.7142857142857143,0.2608695652173913,0.21200019121170044,0.382
10,ma 0000667 / nci c47855,0.2899471134255302,0.25,0.18181818181818182,0.19137367606163025,0.351
11,ma 0000667 / nci c49190,0.32432294542995604,0.4117647058823529,0.20512820512820512,0.09366769343614578,0.324
12,ma 0000667 / nci c33670,0.27230499899664495,0.5625,0.32653061224489793,0.17306731641292572,0.378
13,ma 0000667 / nci c12292,0.2574787175961783,0.26666666666666666,0.11764705882352941,0.18690863251686096,0.45
14,ma 0000667 / nci c12388,0.27516745491200073,0.23076923076923078,0.13793103448275862,0.16022342443466187,0.427
15,ma 0000667 / nci c25268,0.27494663492521304,0.5,0.18181818181818182,0.2948889136314392,0.394
16,ma 0000667 / nci c33419,0.3146984724728627,0.3684210526315789,0.3673469387755102,0.34932851791381836,0.493
17,ma 0000667 / nci c32616,0.2825439319632434,0.3333333333333333,0.12903225806451613,0.12193306535482407,0.72
18,ma 0000667 / nci c12604,0.24313267648515188,0.25,0.1935483870967742,0.14364171028137207,0.437
19,ma 0000667 / nci c32491,0.2895376465641739,0.5714285714285714,0.32432432432432434,0.09936238080263138,0.617
